user,5f14d5cc86d0bd2a08a3e60d,5f14d77586d0bd2a08a3e610,5f14d81f86d0bd2a08a3e611,5f14d8cb86d0bd2a08a3e612,5f14dcd586d0bd2a08a3e619,5f14dd3b86d0bd2a08a3e61a,5f14ded886d0bd2a08a3e61c,5f14dff286d0bd2a08a3e61d,5f14e0f286d0bd2a08a3e61e,5f14f1b5b417a82d10bca6a8,5f14f21bb417a82d10bca6a9,5f14f7b7b417a82d10bca6aa,5f14f818b417a82d10bca6ab,5f14f869b417a82d10bca6ac,5f14f90fb417a82d10bca6ad,5f14f985b417a82d10bca6ae,5f14fa40b417a82d10bca6af,5f14fc7820c56b20acfd4671,5f160d39b14e3208683856bf,5f160db1b14e3208683856c0,5f160df5b14e3208683856c1,5f160e6cb14e3208683856c2,5f160fc4b14e3208683856c3,5f161003b14e3208683856c4,5f161089b14e3208683856c5,5f161328b14e3208683856c7,5f1614cfb14e3208683856c9,5f16155ab14e3208683856ca,5f1615e7b14e3208683856cb,5f16165fb14e3208683856cc,5f164d5f6443183c2ceae541,5f164e3a6443183c2ceae543,5f164fac6443183c2ceae545,5f1652966443183c2ceae547,5f1656106443183c2ceae54e,5f1657116443183c2ceae54f,5f16575e6443183c2ceae550,5f1657e46443183c2ceae551,5f1658556443183c2ceae552,5f1659846443183c2ceae553,5f165a616443183c2ceae554,5f165d166443183c2ceae556,5f165db36443183c2ceae557,5f165e036443183c2ceae558,5f165ecf6443183c2ceae559,5f1661436443183c2ceae55a,5f16618b6443183c2ceae55b,5f19920a94b3f91cb24a8a33,5f1b00940745020017549db1
5f1329d099e14e3e74a6bfc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,,,1.0,,,,
5f1353c7e1f31a0e685dc17b,,,,,,1.0,,,,,,,1.0,,,0.0,0.5,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
5f1353eee1f31a0e685dc17c,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,0.4,1.0,1.0,,1.0,
5f13542be1f31a0e685dc17d,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f164c956443183c2ceae540,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.6666666666666666,1.0,,,
5f1993f694b3f91cb24a8a34,1.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,0.5,,1.0,,0.0,,,,,,,,
5f1f42b8da44cf0017003d67,,,,,,,,,,,,0.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.3333333333333333,0.0,,0.6666666666666666,
5f1f457cda44cf0017003d70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,0.1,,,1.0,0.6666666666666666,0.0
5f1f464bda44cf0017003d77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,
5f1f49e5da44cf0017003d80,,,,,,,,,,,,,0.5,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,0.0,1.0,,
5f1f4a71da44cf0017003d87,,,,,,,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
5f1f4b15da44cf0017003d8e,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.5,,,,0.0,,,,,0.5,0.0,,
5f1f4c57da44cf0017003d99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,
5f1f4d2eda44cf0017003da1,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,0.3333333333333333,,,0.6666666666666666,1.0
5f1f4dd6da44cf0017003da8,0.0,,,0.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f1f5a6adea9c02b64436d8b,,,,,,,,,,,,,0.5,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.6666666666666666,1.0
5f1f5b09dea9c02b64436d94,,,,,,,,,,0.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,0.8333333333333334,
5f20a5c2505ca20cf8cfadf1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,0.0,,,
5f20b9f3505ca20cf8cfadf4,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f20ba58505ca20cf8cfadf9,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,,,,,,,0.4,,0.5,,,
5f20baf7505ca20cf8cfadfe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
